question,type,topic,answer
what medicine should i take for fever,medicine_advice,Fever,"For fever, paracetamol (acetaminophen) is the most commonly used over-the-counter option, with ibuprofen as an alternative. Take as directed on the packaging, stay hydrated, and see a doctor if fever exceeds 103°F/39.4°C or lasts more than 3 days."
which medicine for fever,medicine_advice,Fever,"For fever, paracetamol (acetaminophen) is the most commonly used over-the-counter option, with ibuprofen as an alternative. Take as directed on the packaging, stay hydrated, and see a doctor if fever exceeds 103°F/39.4°C or lasts more than 3 days."
suggest medicine for fever,medicine_advice,Fever,"For fever, paracetamol (acetaminophen) is the most commonly used over-the-counter option, with ibuprofen as an alternative. Take as directed on the packaging, stay hydrated, and see a doctor if fever exceeds 103°F/39.4°C or lasts more than 3 days."
what medicine should i take for headache,medicine_advice,Headache,"For a headache, paracetamol or ibuprofen are the most commonly used over-the-counter pain relievers. Take as directed on the packaging with water, rest in a quiet space, and see a doctor if headaches are severe, sudden, or frequent."
which medicine for headache,medicine_advice,Headache,"For a headache, paracetamol or ibuprofen are the most commonly used over-the-counter pain relievers. Take as directed on the packaging with water, rest in a quiet space, and see a doctor if headaches are severe, sudden, or frequent."
suggest medicine for headache,medicine_advice,Headache,"For a headache, paracetamol or ibuprofen are the most commonly used over-the-counter pain relievers. Take as directed on the packaging with water, rest in a quiet space, and see a doctor if headaches are severe, sudden, or frequent."
what medicine should i take for a cold,medicine_advice,Common Cold,"For a common cold, paracetamol can ease aches and fever, while a decongestant or antihistamine can help with a blocked or runny nose. These only relieve symptoms - rest, fluids, and time are what actually clear the infection."
which medicine for common cold,medicine_advice,Common Cold,"For a common cold, paracetamol can ease aches and fever, while a decongestant or antihistamine can help with a blocked or runny nose. These only relieve symptoms - rest, fluids, and time are what actually clear the infection."
suggest medicine for cold,medicine_advice,Common Cold,"For a common cold, paracetamol can ease aches and fever, while a decongestant or antihistamine can help with a blocked or runny nose. These only relieve symptoms - rest, fluids, and time are what actually clear the infection."
what medicine should i take for dry cough,medicine_advice,Dry Cough,"For a dry, irritating cough, a cough suppressant (containing dextromethorphan) is commonly used to reduce the urge to cough. Warm fluids and honey can also soothe the throat - see a doctor if the cough lasts more than 2-3 weeks."
which medicine for dry cough,medicine_advice,Dry Cough,"For a dry, irritating cough, a cough suppressant (containing dextromethorphan) is commonly used to reduce the urge to cough. Warm fluids and honey can also soothe the throat - see a doctor if the cough lasts more than 2-3 weeks."
medicine for dry cough,medicine_advice,Dry Cough,"For a dry, irritating cough, a cough suppressant (containing dextromethorphan) is commonly used to reduce the urge to cough. Warm fluids and honey can also soothe the throat - see a doctor if the cough lasts more than 2-3 weeks."
what medicine should i take for wet cough,medicine_advice,Wet Cough,"For a wet, mucus-producing cough, an expectorant (like guaifenesin) is commonly used to help loosen and clear mucus. Staying well hydrated also helps thin mucus - see a doctor if it's accompanied by fever, chest pain, or lasts more than 2-3 weeks."
which medicine for chesty cough,medicine_advice,Wet Cough,"For a wet, mucus-producing cough, an expectorant (like guaifenesin) is commonly used to help loosen and clear mucus. Staying well hydrated also helps thin mucus - see a doctor if it's accompanied by fever, chest pain, or lasts more than 2-3 weeks."
medicine for productive cough,medicine_advice,Wet Cough,"For a wet, mucus-producing cough, an expectorant (like guaifenesin) is commonly used to help loosen and clear mucus. Staying well hydrated also helps thin mucus - see a doctor if it's accompanied by fever, chest pain, or lasts more than 2-3 weeks."
what medicine should i take for sore throat,medicine_advice,Sore Throat,"For a sore throat, throat lozenges and paracetamol for pain relief are commonly used, along with warm salt-water gargles. See a doctor if you have a high fever, white patches on the tonsils, or difficulty swallowing."
which medicine for sore throat,medicine_advice,Sore Throat,"For a sore throat, throat lozenges and paracetamol for pain relief are commonly used, along with warm salt-water gargles. See a doctor if you have a high fever, white patches on the tonsils, or difficulty swallowing."
medicine for throat pain,medicine_advice,Sore Throat,"For a sore throat, throat lozenges and paracetamol for pain relief are commonly used, along with warm salt-water gargles. See a doctor if you have a high fever, white patches on the tonsils, or difficulty swallowing."
what medicine should i take for body pain,medicine_advice,Body Pain,"For general body or muscle pain, paracetamol or ibuprofen are commonly used pain relievers, alongside rest and gentle stretching. See a doctor if pain is severe, localized to one joint, or doesn't improve in a few days."
which medicine for muscle pain,medicine_advice,Body Pain,"For general body or muscle pain, paracetamol or ibuprofen are commonly used pain relievers, alongside rest and gentle stretching. See a doctor if pain is severe, localized to one joint, or doesn't improve in a few days."
medicine for body ache,medicine_advice,Body Pain,"For general body or muscle pain, paracetamol or ibuprofen are commonly used pain relievers, alongside rest and gentle stretching. See a doctor if pain is severe, localized to one joint, or doesn't improve in a few days."
what medicine should i take for acidity,medicine_advice,Acidity/Heartburn,"For acidity or heartburn, an antacid is commonly used for quick relief, and avoiding spicy, fatty, or large meals helps prevent it. See a doctor if it happens frequently, since that could point to GERD needing a different treatment."
which medicine for heartburn,medicine_advice,Acidity/Heartburn,"For acidity or heartburn, an antacid is commonly used for quick relief, and avoiding spicy, fatty, or large meals helps prevent it. See a doctor if it happens frequently, since that could point to GERD needing a different treatment."
medicine for acid reflux,medicine_advice,Acidity/Heartburn,"For acidity or heartburn, an antacid is commonly used for quick relief, and avoiding spicy, fatty, or large meals helps prevent it. See a doctor if it happens frequently, since that could point to GERD needing a different treatment."
what medicine should i take for diarrhea,medicine_advice,Diarrhea,"For diarrhea, ORS (oral rehydration salts) is the priority to replace lost fluids and electrolytes - it's more important than stopping the diarrhea itself. See a doctor promptly if there's blood, high fever, or it lasts more than 2 days, especially in children."
which medicine for diarrhea,medicine_advice,Diarrhea,"For diarrhea, ORS (oral rehydration salts) is the priority to replace lost fluids and electrolytes - it's more important than stopping the diarrhea itself. See a doctor promptly if there's blood, high fever, or it lasts more than 2 days, especially in children."
medicine for loose motion,medicine_advice,Diarrhea,"For diarrhea, ORS (oral rehydration salts) is the priority to replace lost fluids and electrolytes - it's more important than stopping the diarrhea itself. See a doctor promptly if there's blood, high fever, or it lasts more than 2 days, especially in children."
what medicine should i take for constipation,medicine_advice,Constipation,"For occasional constipation, increasing water and fiber intake usually helps first, with a mild over-the-counter laxative as a short-term option if needed. See a doctor if it persists beyond a week or is accompanied by pain or bleeding."
which medicine for constipation,medicine_advice,Constipation,"For occasional constipation, increasing water and fiber intake usually helps first, with a mild over-the-counter laxative as a short-term option if needed. See a doctor if it persists beyond a week or is accompanied by pain or bleeding."
medicine for constipation relief,medicine_advice,Constipation,"For occasional constipation, increasing water and fiber intake usually helps first, with a mild over-the-counter laxative as a short-term option if needed. See a doctor if it persists beyond a week or is accompanied by pain or bleeding."
what medicine should i take for nausea,medicine_advice,Nausea/Vomiting,"For mild nausea, small sips of water or ginger tea can help, and ORS is useful if there's also vomiting to prevent dehydration. Anti-nausea medicine is best taken only on a doctor's advice, especially if vomiting persists or is severe."
which medicine for vomiting,medicine_advice,Nausea/Vomiting,"For mild nausea, small sips of water or ginger tea can help, and ORS is useful if there's also vomiting to prevent dehydration. Anti-nausea medicine is best taken only on a doctor's advice, especially if vomiting persists or is severe."
medicine for nausea,medicine_advice,Nausea/Vomiting,"For mild nausea, small sips of water or ginger tea can help, and ORS is useful if there's also vomiting to prevent dehydration. Anti-nausea medicine is best taken only on a doctor's advice, especially if vomiting persists or is severe."
what medicine should i take for allergy,medicine_advice,Seasonal Allergy,"For seasonal allergy symptoms like sneezing or itchy eyes, an antihistamine is commonly used for relief. Some types cause drowsiness, so check the label if you'll be driving, and see a doctor if symptoms are severe or don't improve."
which medicine for allergy,medicine_advice,Seasonal Allergy,"For seasonal allergy symptoms like sneezing or itchy eyes, an antihistamine is commonly used for relief. Some types cause drowsiness, so check the label if you'll be driving, and see a doctor if symptoms are severe or don't improve."
medicine for allergic reaction,medicine_advice,Seasonal Allergy,"For seasonal allergy symptoms like sneezing or itchy eyes, an antihistamine is commonly used for relief. Some types cause drowsiness, so check the label if you'll be driving, and see a doctor if symptoms are severe or don't improve."
what medicine should i take for toothache,medicine_advice,Toothache,"For a toothache, paracetamol or ibuprofen can help manage the pain temporarily, but this only masks the problem - a dentist visit is needed to treat the actual cause. Avoid placing aspirin directly on the gum, as this can burn the tissue."
which medicine for toothache,medicine_advice,Toothache,"For a toothache, paracetamol or ibuprofen can help manage the pain temporarily, but this only masks the problem - a dentist visit is needed to treat the actual cause. Avoid placing aspirin directly on the gum, as this can burn the tissue."
medicine for tooth pain,medicine_advice,Toothache,"For a toothache, paracetamol or ibuprofen can help manage the pain temporarily, but this only masks the problem - a dentist visit is needed to treat the actual cause. Avoid placing aspirin directly on the gum, as this can burn the tissue."
what medicine should i take for migraine,medicine_advice,Migraine,"For a migraine, paracetamol or ibuprofen taken early in the attack can help, along with resting in a dark, quiet room. If migraines are frequent or severe, a doctor can prescribe more targeted medication like triptans."
which medicine for migraine,medicine_advice,Migraine,"For a migraine, paracetamol or ibuprofen taken early in the attack can help, along with resting in a dark, quiet room. If migraines are frequent or severe, a doctor can prescribe more targeted medication like triptans."
medicine for migraine relief,medicine_advice,Migraine,"For a migraine, paracetamol or ibuprofen taken early in the attack can help, along with resting in a dark, quiet room. If migraines are frequent or severe, a doctor can prescribe more targeted medication like triptans."
what medicine should i use for a cut,medicine_advice,Minor Cuts/Wounds,"For a minor cut, clean it with water, apply an antiseptic (like povidone-iodine or an antiseptic cream), and cover with a sterile bandage. See a doctor if the cut is deep, won't stop bleeding, or shows signs of infection like redness or pus."
which medicine for wound,medicine_advice,Minor Cuts/Wounds,"For a minor cut, clean it with water, apply an antiseptic (like povidone-iodine or an antiseptic cream), and cover with a sterile bandage. See a doctor if the cut is deep, won't stop bleeding, or shows signs of infection like redness or pus."
medicine for minor cuts,medicine_advice,Minor Cuts/Wounds,"For a minor cut, clean it with water, apply an antiseptic (like povidone-iodine or an antiseptic cream), and cover with a sterile bandage. See a doctor if the cut is deep, won't stop bleeding, or shows signs of infection like redness or pus."
what medicine should i take for insect bite,medicine_advice,Insect Bite/Itching,"For an insect bite, an antihistamine tablet or a topical anti-itch cream (like calamine or hydrocortisone) commonly relieves itching and swelling. Seek medical help immediately if there's difficulty breathing, facial swelling, or widespread hives."
which medicine for itching,medicine_advice,Insect Bite/Itching,"For an insect bite, an antihistamine tablet or a topical anti-itch cream (like calamine or hydrocortisone) commonly relieves itching and swelling. Seek medical help immediately if there's difficulty breathing, facial swelling, or widespread hives."
medicine for insect bite,medicine_advice,Insect Bite/Itching,"For an insect bite, an antihistamine tablet or a topical anti-itch cream (like calamine or hydrocortisone) commonly relieves itching and swelling. Seek medical help immediately if there's difficulty breathing, facial swelling, or widespread hives."
what medicine should i take for joint pain,medicine_advice,Joint Pain/Arthritis,"For joint pain, ibuprofen or a topical anti-inflammatory gel are commonly used for short-term relief. For ongoing joint pain or arthritis, a doctor should guide long-term treatment, since some pain relievers aren't safe to use regularly without supervision."
which medicine for arthritis pain,medicine_advice,Joint Pain/Arthritis,"For joint pain, ibuprofen or a topical anti-inflammatory gel are commonly used for short-term relief. For ongoing joint pain or arthritis, a doctor should guide long-term treatment, since some pain relievers aren't safe to use regularly without supervision."
medicine for joint pain,medicine_advice,Joint Pain/Arthritis,"For joint pain, ibuprofen or a topical anti-inflammatory gel are commonly used for short-term relief. For ongoing joint pain or arthritis, a doctor should guide long-term treatment, since some pain relievers aren't safe to use regularly without supervision."
what medicine should i take for diabetes,medicine_advice,Diabetes,"Diabetes medicine (like metformin or insulin) has to be prescribed and dosed individually by a doctor based on your blood sugar levels and health history - there's no safe over-the-counter option, and self-medicating could be dangerous. Please see a doctor for proper diagnosis and treatment."
which medicine for diabetes,medicine_advice,Diabetes,"Diabetes medicine (like metformin or insulin) has to be prescribed and dosed individually by a doctor based on your blood sugar levels and health history - there's no safe over-the-counter option, and self-medicating could be dangerous. Please see a doctor for proper diagnosis and treatment."
medicine for diabetes,medicine_advice,Diabetes,"Diabetes medicine (like metformin or insulin) has to be prescribed and dosed individually by a doctor based on your blood sugar levels and health history - there's no safe over-the-counter option, and self-medicating could be dangerous. Please see a doctor for proper diagnosis and treatment."
what medicine should i take for high blood pressure,medicine_advice,Hypertension,"Blood pressure medicine needs to be prescribed by a doctor, since the right type and dose depends on your specific readings and health history - taking the wrong one can be risky. Please see a doctor for proper diagnosis and an individualized treatment plan."
which medicine for hypertension,medicine_advice,Hypertension,"Blood pressure medicine needs to be prescribed by a doctor, since the right type and dose depends on your specific readings and health history - taking the wrong one can be risky. Please see a doctor for proper diagnosis and an individualized treatment plan."
medicine for high bp,medicine_advice,Hypertension,"Blood pressure medicine needs to be prescribed by a doctor, since the right type and dose depends on your specific readings and health history - taking the wrong one can be risky. Please see a doctor for proper diagnosis and an individualized treatment plan."
what medicine should i take for uti,medicine_advice,Urinary Tract Infection,"A UTI needs a prescribed antibiotic chosen based on the specific bacteria involved - it can't be safely self-treated with over-the-counter medicine. Please see a doctor, ideally with a urine test, to get the right antibiotic course."
which medicine for urinary infection,medicine_advice,Urinary Tract Infection,"A UTI needs a prescribed antibiotic chosen based on the specific bacteria involved - it can't be safely self-treated with over-the-counter medicine. Please see a doctor, ideally with a urine test, to get the right antibiotic course."
medicine for uti,medicine_advice,Urinary Tract Infection,"A UTI needs a prescribed antibiotic chosen based on the specific bacteria involved - it can't be safely self-treated with over-the-counter medicine. Please see a doctor, ideally with a urine test, to get the right antibiotic course."
what medicine should i take for bacterial infection,medicine_advice,Bacterial Infection,"Bacterial infections need a specific antibiotic prescribed by a doctor - taking the wrong antibiotic, or an incomplete course, can make future infections harder to treat due to antibiotic resistance. Please see a doctor for diagnosis and the right prescription."
which medicine for infection,medicine_advice,Bacterial Infection,"Bacterial infections need a specific antibiotic prescribed by a doctor - taking the wrong antibiotic, or an incomplete course, can make future infections harder to treat due to antibiotic resistance. Please see a doctor for diagnosis and the right prescription."
medicine for bacterial infection,medicine_advice,Bacterial Infection,"Bacterial infections need a specific antibiotic prescribed by a doctor - taking the wrong antibiotic, or an incomplete course, can make future infections harder to treat due to antibiotic resistance. Please see a doctor for diagnosis and the right prescription."
what medicine should i take for insomnia,medicine_advice,Insomnia,"There isn't a safe general-purpose over-the-counter medicine recommendation for insomnia - sleep aids can be habit-forming and aren't right for everyone. Try good sleep habits first (consistent bedtime, less screen time, no late caffeine), and see a doctor if trouble sleeping continues."
which medicine for sleep problems,medicine_advice,Insomnia,"There isn't a safe general-purpose over-the-counter medicine recommendation for insomnia - sleep aids can be habit-forming and aren't right for everyone. Try good sleep habits first (consistent bedtime, less screen time, no late caffeine), and see a doctor if trouble sleeping continues."
