question,type,topic,answer
medicine for insomnia,medicine_advice,Insomnia,"There isn't a safe general-purpose over-the-counter medicine recommendation for insomnia - sleep aids can be habit-forming and aren't right for everyone. Try good sleep habits first (consistent bedtime, less screen time, no late caffeine), and see a doctor if trouble sleeping continues."
what medicine should i take for chest pain,medicine_advice,Chest Pain,"Chest pain should not be self-treated with over-the-counter medicine, since it can be a sign of a serious heart or lung condition. Please seek medical attention right away - if it's sudden, severe, or comes with shortness of breath, sweating, or pain spreading to the arm or jaw, treat it as a medical emergency and call your local emergency number."
which medicine for chest pain,medicine_advice,Chest Pain,"Chest pain should not be self-treated with over-the-counter medicine, since it can be a sign of a serious heart or lung condition. Please seek medical attention right away - if it's sudden, severe, or comes with shortness of breath, sweating, or pain spreading to the arm or jaw, treat it as a medical emergency and call your local emergency number."
medicine for chest pain,medicine_advice,Chest Pain,"Chest pain should not be self-treated with over-the-counter medicine, since it can be a sign of a serious heart or lung condition. Please seek medical attention right away - if it's sudden, severe, or comes with shortness of breath, sweating, or pain spreading to the arm or jaw, treat it as a medical emergency and call your local emergency number."
medicine for cut,medicine_advice,Minor Cuts/Wounds,"For a minor cut, clean it with water, apply an antiseptic (like povidone-iodine or an antiseptic cream), and cover with a sterile bandage. See a doctor if the cut is deep, won't stop bleeding, or shows signs of infection like redness or pus."
what medicine should i take for skin rash,medicine_advice,Skin Rash,"For a mild skin rash or itching, an antihistamine tablet or a topical cream (like calamine or hydrocortisone) commonly relieves itching and irritation. See a doctor if the rash spreads quickly, blisters, is very painful, or comes with fever or difficulty breathing."
which medicine for swelling,medicine_advice,Skin Rash,"For a mild skin rash or itching, an antihistamine tablet or a topical cream (like calamine or hydrocortisone) commonly relieves itching and irritation. See a doctor if the rash spreads quickly, blisters, is very painful, or comes with fever or difficulty breathing."
medicine for itchy skin,medicine_advice,Skin Rash,"For a mild skin rash or itching, an antihistamine tablet or a topical cream (like calamine or hydrocortisone) commonly relieves itching and irritation. See a doctor if the rash spreads quickly, blisters, is very painful, or comes with fever or difficulty breathing."
what medicine should i take for nosebleed,medicine_advice,Nosebleed,"A nosebleed usually doesn't need medicine - pinch the soft part of the nose and lean slightly forward for 10-15 minutes, which stops most nosebleeds. See a doctor if it doesn't stop after 20 minutes, happens frequently, or follows a head injury."
which medicine for nosebleed,medicine_advice,Nosebleed,"A nosebleed usually doesn't need medicine - pinch the soft part of the nose and lean slightly forward for 10-15 minutes, which stops most nosebleeds. See a doctor if it doesn't stop after 20 minutes, happens frequently, or follows a head injury."
medicine for nosebleed,medicine_advice,Nosebleed,"A nosebleed usually doesn't need medicine - pinch the soft part of the nose and lean slightly forward for 10-15 minutes, which stops most nosebleeds. See a doctor if it doesn't stop after 20 minutes, happens frequently, or follows a head injury."
what medicine should i take for dehydration,medicine_advice,Dehydration,"For dehydration, ORS (oral rehydration salts) mixed in water is the most effective option, replacing lost fluids and electrolytes faster than water alone. See a doctor urgently if there's confusion, very little urine, a rapid heartbeat, or if it's a young child, older adult, or not improving with fluids."
which medicine for dehydration,medicine_advice,Dehydration,"For dehydration, ORS (oral rehydration salts) mixed in water is the most effective option, replacing lost fluids and electrolytes faster than water alone. See a doctor urgently if there's confusion, very little urine, a rapid heartbeat, or if it's a young child, older adult, or not improving with fluids."
medicine for dehydration,medicine_advice,Dehydration,"For dehydration, ORS (oral rehydration salts) mixed in water is the most effective option, replacing lost fluids and electrolytes faster than water alone. See a doctor urgently if there's confusion, very little urine, a rapid heartbeat, or if it's a young child, older adult, or not improving with fluids."
what medicine should i take for a burn,medicine_advice,Burn,"For a minor burn, cool it under running water for 10-20 minutes (no ice), then apply a burn ointment or aloe vera and cover loosely with a clean, non-stick bandage - avoid butter or toothpaste. See a doctor immediately for large burns, burns that blister badly, or burns on the face, hands, or genitals."
which medicine for burn,medicine_advice,Burn,"For a minor burn, cool it under running water for 10-20 minutes (no ice), then apply a burn ointment or aloe vera and cover loosely with a clean, non-stick bandage - avoid butter or toothpaste. See a doctor immediately for large burns, burns that blister badly, or burns on the face, hands, or genitals."
medicine for burn,medicine_advice,Burn,"For a minor burn, cool it under running water for 10-20 minutes (no ice), then apply a burn ointment or aloe vera and cover loosely with a clean, non-stick bandage - avoid butter or toothpaste. See a doctor immediately for large burns, burns that blister badly, or burns on the face, hands, or genitals."
what medicine should i take for anxiety,medicine_advice,Anxiety Attack,"There isn't a safe general over-the-counter medicine recommendation for anxiety or panic attacks - proper treatment depends on an individual assessment. In the moment, slow deep breathing and grounding techniques can help; for ongoing anxiety, please see a doctor or therapist, who can discuss appropriate options."
which medicine for panic attack,medicine_advice,Anxiety Attack,"There isn't a safe general over-the-counter medicine recommendation for anxiety or panic attacks - proper treatment depends on an individual assessment. In the moment, slow deep breathing and grounding techniques can help; for ongoing anxiety, please see a doctor or therapist, who can discuss appropriate options."
medicine for anxiety attack,medicine_advice,Anxiety Attack,"There isn't a safe general over-the-counter medicine recommendation for anxiety or panic attacks - proper treatment depends on an individual assessment. In the moment, slow deep breathing and grounding techniques can help; for ongoing anxiety, please see a doctor or therapist, who can discuss appropriate options."
what medicine should i take for back pain,medicine_advice,Back Pain,"For back pain, paracetamol or ibuprofen are commonly used for short-term relief, along with rest from strenuous activity and gentle movement. See a doctor if pain is severe, follows an injury, or comes with numbness, tingling, or weakness in the legs."
which medicine for back pain,medicine_advice,Back Pain,"For back pain, paracetamol or ibuprofen are commonly used for short-term relief, along with rest from strenuous activity and gentle movement. See a doctor if pain is severe, follows an injury, or comes with numbness, tingling, or weakness in the legs."
medicine for back pain,medicine_advice,Back Pain,"For back pain, paracetamol or ibuprofen are commonly used for short-term relief, along with rest from strenuous activity and gentle movement. See a doctor if pain is severe, follows an injury, or comes with numbness, tingling, or weakness in the legs."
what medicine should i take for bee sting,medicine_advice,Bee Sting,"For a bee sting, remove the stinger if visible, apply a cold compress, and an antihistamine or pain reliever can help with itching and discomfort. Seek emergency care immediately if there's difficulty breathing, swelling of the face or throat, or dizziness - these can signal a severe allergic reaction."
which medicine for bee sting,medicine_advice,Bee Sting,"For a bee sting, remove the stinger if visible, apply a cold compress, and an antihistamine or pain reliever can help with itching and discomfort. Seek emergency care immediately if there's difficulty breathing, swelling of the face or throat, or dizziness - these can signal a severe allergic reaction."
medicine for bee sting,medicine_advice,Bee Sting,"For a bee sting, remove the stinger if visible, apply a cold compress, and an antihistamine or pain reliever can help with itching and discomfort. Seek emergency care immediately if there's difficulty breathing, swelling of the face or throat, or dizziness - these can signal a severe allergic reaction."
what medicine should i take for cough,medicine_advice,Cough,"The right medicine for a cough depends on the type: a cough suppressant works best for a dry, irritating cough, while an expectorant helps clear a wet, mucus-producing one. See a doctor if the cough lasts more than 2-3 weeks or comes with fever, chest pain, or blood."
which medicine for cough,medicine_advice,Cough,"The right medicine for a cough depends on the type: a cough suppressant works best for a dry, irritating cough, while an expectorant helps clear a wet, mucus-producing one. See a doctor if the cough lasts more than 2-3 weeks or comes with fever, chest pain, or blood."
medicine for cough,medicine_advice,Cough,"The right medicine for a cough depends on the type: a cough suppressant works best for a dry, irritating cough, while an expectorant helps clear a wet, mucus-producing one. See a doctor if the cough lasts more than 2-3 weeks or comes with fever, chest pain, or blood."
what medicine should i take for difficulty breathing,medicine_advice,Difficulty Breathing,"Difficulty breathing should not be self-treated with medicine - it can be a sign of a serious condition like an asthma attack, allergic reaction, or heart or lung problem. Please seek emergency medical care immediately, especially if it's sudden, severe, or comes with chest pain or blue lips."
which medicine for breathing problem,medicine_advice,Difficulty Breathing,"Difficulty breathing should not be self-treated with medicine - it can be a sign of a serious condition like an asthma attack, allergic reaction, or heart or lung problem. Please seek emergency medical care immediately, especially if it's sudden, severe, or comes with chest pain or blue lips."
medicine for shortness of breath,medicine_advice,Difficulty Breathing,"Difficulty breathing should not be self-treated with medicine - it can be a sign of a serious condition like an asthma attack, allergic reaction, or heart or lung problem. Please seek emergency medical care immediately, especially if it's sudden, severe, or comes with chest pain or blue lips."
what medicine should i take for dizziness,medicine_advice,Dizziness,"For mild, occasional dizziness, sitting or lying down and drinking water often helps - there isn't a general medicine recommended without knowing the cause. See a doctor if dizziness is severe, frequent, or comes with chest pain, slurred speech, or trouble walking, as these need urgent evaluation."
which medicine for dizziness,medicine_advice,Dizziness,"For mild, occasional dizziness, sitting or lying down and drinking water often helps - there isn't a general medicine recommended without knowing the cause. See a doctor if dizziness is severe, frequent, or comes with chest pain, slurred speech, or trouble walking, as these need urgent evaluation."
medicine for dizziness,medicine_advice,Dizziness,"For mild, occasional dizziness, sitting or lying down and drinking water often helps - there isn't a general medicine recommended without knowing the cause. See a doctor if dizziness is severe, frequent, or comes with chest pain, slurred speech, or trouble walking, as these need urgent evaluation."
what medicine should i take for dog bite,medicine_advice,Dog Bite,"A dog bite needs proper wound cleaning and an antiseptic first, but medicine alone isn't enough - please see a doctor promptly, since dog bites carry a real risk of infection and may need a tetanus shot or rabies evaluation depending on the situation."
which medicine for dog bite,medicine_advice,Dog Bite,"A dog bite needs proper wound cleaning and an antiseptic first, but medicine alone isn't enough - please see a doctor promptly, since dog bites carry a real risk of infection and may need a tetanus shot or rabies evaluation depending on the situation."
medicine for dog bite,medicine_advice,Dog Bite,"A dog bite needs proper wound cleaning and an antiseptic first, but medicine alone isn't enough - please see a doctor promptly, since dog bites carry a real risk of infection and may need a tetanus shot or rabies evaluation depending on the situation."
what medicine should i take for ear pain,medicine_advice,Ear Pain,"For ear pain, paracetamol or ibuprofen can help manage discomfort, and a warm compress against the ear may also soothe it. See a doctor if there's fever, discharge from the ear, or hearing loss, since this may need prescription treatment such as ear drops or antibiotics."
which medicine for ear pain,medicine_advice,Ear Pain,"For ear pain, paracetamol or ibuprofen can help manage discomfort, and a warm compress against the ear may also soothe it. See a doctor if there's fever, discharge from the ear, or hearing loss, since this may need prescription treatment such as ear drops or antibiotics."
medicine for ear pain,medicine_advice,Ear Pain,"For ear pain, paracetamol or ibuprofen can help manage discomfort, and a warm compress against the ear may also soothe it. See a doctor if there's fever, discharge from the ear, or hearing loss, since this may need prescription treatment such as ear drops or antibiotics."
what medicine should i take for eye irritation,medicine_advice,Eye Irritation,"For mild eye irritation, rinsing gently with clean water and using lubricating eye drops (artificial tears) commonly helps. See a doctor if there's significant pain, vision changes, a foreign object stuck in the eye, or symptoms don't improve, rather than using medicated eye drops without guidance."
which medicine for eye irritation,medicine_advice,Eye Irritation,"For mild eye irritation, rinsing gently with clean water and using lubricating eye drops (artificial tears) commonly helps. See a doctor if there's significant pain, vision changes, a foreign object stuck in the eye, or symptoms don't improve, rather than using medicated eye drops without guidance."
medicine for eye irritation,medicine_advice,Eye Irritation,"For mild eye irritation, rinsing gently with clean water and using lubricating eye drops (artificial tears) commonly helps. See a doctor if there's significant pain, vision changes, a foreign object stuck in the eye, or symptoms don't improve, rather than using medicated eye drops without guidance."
what medicine should i take after fainting,medicine_advice,Fainting,"There's no medicine to take for fainting itself - lie down, raise the legs above heart level, and loosen tight clothing to help blood flow return to the brain. See a doctor if fainting is frequent, happens during exercise, or comes with chest pain or palpitations, since it can point to an underlying condition."
which medicine for fainting,medicine_advice,Fainting,"There's no medicine to take for fainting itself - lie down, raise the legs above heart level, and loosen tight clothing to help blood flow return to the brain. See a doctor if fainting is frequent, happens during exercise, or comes with chest pain or palpitations, since it can point to an underlying condition."
medicine for fainting,medicine_advice,Fainting,"There's no medicine to take for fainting itself - lie down, raise the legs above heart level, and loosen tight clothing to help blood flow return to the brain. See a doctor if fainting is frequent, happens during exercise, or comes with chest pain or palpitations, since it can point to an underlying condition."
what medicine should i take for food poisoning,medicine_advice,Food Poisoning,"For food poisoning, ORS (oral rehydration salts) is the priority to replace lost fluids - most cases resolve on their own within a couple of days with rest and fluids. See a doctor if there's high fever, bloody stools, or symptoms lasting more than 2 days, since anti-diarrheal medicine isn't always advised."
which medicine for food poisoning,medicine_advice,Food Poisoning,"For food poisoning, ORS (oral rehydration salts) is the priority to replace lost fluids - most cases resolve on their own within a couple of days with rest and fluids. See a doctor if there's high fever, bloody stools, or symptoms lasting more than 2 days, since anti-diarrheal medicine isn't always advised."
medicine for food poisoning,medicine_advice,Food Poisoning,"For food poisoning, ORS (oral rehydration salts) is the priority to replace lost fluids - most cases resolve on their own within a couple of days with rest and fluids. See a doctor if there's high fever, bloody stools, or symptoms lasting more than 2 days, since anti-diarrheal medicine isn't always advised."
what medicine should i take for heat stroke,medicine_advice,Heat Stroke,"Heat stroke is a medical emergency and should not be treated with medicine - move to a cool place immediately, remove excess clothing, and cool the body with water or damp cloths while calling emergency services. Do not give fever-reducing medicine like paracetamol, as it isn't effective for heat stroke and can be harmful."
which medicine for heat stroke,medicine_advice,Heat Stroke,"Heat stroke is a medical emergency and should not be treated with medicine - move to a cool place immediately, remove excess clothing, and cool the body with water or damp cloths while calling emergency services. Do not give fever-reducing medicine like paracetamol, as it isn't effective for heat stroke and can be harmful."
medicine for heat stroke,medicine_advice,Heat Stroke,"Heat stroke is a medical emergency and should not be treated with medicine - move to a cool place immediately, remove excess clothing, and cool the body with water or damp cloths while calling emergency services. Do not give fever-reducing medicine like paracetamol, as it isn't effective for heat stroke and can be harmful."
what medicine should i take for snake bite,medicine_advice,Snake Bite,"A snake bite needs emergency medical treatment with antivenom, not over-the-counter medicine - keep the person calm and still, keep the bitten area below heart level, and get to a hospital immediately. Do not apply a tourniquet, cut the wound, or try to suck out the venom."
which medicine for snake bite,medicine_advice,Snake Bite,"A snake bite needs emergency medical treatment with antivenom, not over-the-counter medicine - keep the person calm and still, keep the bitten area below heart level, and get to a hospital immediately. Do not apply a tourniquet, cut the wound, or try to suck out the venom."
medicine for snake bite,medicine_advice,Snake Bite,"A snake bite needs emergency medical treatment with antivenom, not over-the-counter medicine - keep the person calm and still, keep the bitten area below heart level, and get to a hospital immediately. Do not apply a tourniquet, cut the wound, or try to suck out the venom."
what medicine should i take for sprain,medicine_advice,Sprain,"For a sprain, ibuprofen can help with both pain and swelling, alongside the R.I.C.E. approach (Rest, Ice, Compression, Elevation) for the first 48 hours. See a doctor if you can't bear weight on it, the swelling is severe, or it doesn't improve within a few days."
which medicine for sprain,medicine_advice,Sprain,"For a sprain, ibuprofen can help with both pain and swelling, alongside the R.I.C.E. approach (Rest, Ice, Compression, Elevation) for the first 48 hours. See a doctor if you can't bear weight on it, the swelling is severe, or it doesn't improve within a few days."
medicine for sprain,medicine_advice,Sprain,"For a sprain, ibuprofen can help with both pain and swelling, alongside the R.I.C.E. approach (Rest, Ice, Compression, Elevation) for the first 48 hours. See a doctor if you can't bear weight on it, the swelling is severe, or it doesn't improve within a few days."
